Departure_Airport,Month,Delay_Category,Total_Flights,Avg_Dep_Delay,Avg_Arr_Delay,Top_3_Causes
ABE,1,1_Low (<15m),288,-5.3,-13.9,CANCEL_WEATHER:11
ABE,1,2_Medium (15-60m),31,34.32,31.45,LATE_AIRCRAFT:12; CARRIER:8; NAS:3
ABE,1,3_High (>60m),30,241.3,234.03,LATE_AIRCRAFT:14; CARRIER:12; NAS:2
ABE,2,1_Low (<15m),300,-6.58,-19.31,CANCEL_WEATHER:3
ABE,2,2_Medium (15-60m),20,29.7,9.6,CARRIER:5; LATE_AIRCRAFT:3
ABE,2,3_High (>60m),14,227.93,217.93,CARRIER:6; LATE_AIRCRAFT:6; NAS:1
ABE,3,1_Low (<15m),341,-6.15,-18.26,CANCEL_NAS:1; CANCEL_WEATHER:1
ABE,3,2_Medium (15-60m),28,30.68,19.89,LATE_AIRCRAFT:7; CARRIER:4; NAS:4
ABE,3,3_High (>60m),23,173.43,163.39,CARRIER:9; LATE_AIRCRAFT:8; NAS:6
ABE,4,1_Low (<15m),306,-6.44,-17.13,CANCEL_NAS:1; CANCEL_WEATHER:1
