Airline_Code,Departure_Airport,Total_Flights,Min_Arrival_Delay,Max_Arrival_Delay,Avg_Arrival_Delay,Cancellation_Rate_Pct,Operating_Months
9E,ABE,1017,-47.0,575.0,0.66,1.38,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,ABY,38,-32.0,321.0,4.37,0.0,"1,2,3,11,12"
9E,AEX,878,-34.0,979.0,9.5,1.03,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,AGS,1603,-36.0,1091.0,6.82,2.06,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,ALB,1089,-51.0,394.0,-4.3,1.93,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,ATL,26877,-43.0,1207.0,2.42,1.09,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,ATW,176,-34.0,420.0,9.34,0.0,"1,4,5,6,7,8,9,10"
9E,AUS,379,-35.0,1225.0,14.07,0.53,"1,2,3,4,5,6,7,11"
9E,AVL,675,-43.0,949.0,1.87,2.07,"1,2,3,4,5,6,7,8,9,10,11,12"
9E,AZO,14,-22.0,71.0,-2.93,0.0,1
